DAY_TYPE,TIME_PER_HOUR,FREQ,AVG_BUS_PER_HOUR
WEEKDAY,5.0,13.0,4.615
WEEKDAY,6.0,11.0,5.455
WEEKDAY,7.0,11.0,5.455
WEEKDAY,8.0,11.0,5.455
WEEKDAY,9.0,13.0,4.615
WEEKDAY,10.0,13.0,4.615
WEEKDAY,11.0,13.0,4.615
WEEKDAY,12.0,13.0,4.615
WEEKDAY,13.0,13.0,4.615
WEEKDAY,14.0,13.0,4.615
WEEKDAY,15.0,13.0,4.615
WEEKDAY,16.0,13.0,4.615
WEEKDAY,17.0,13.0,4.615
WEEKDAY,18.0,13.0,4.615
WEEKDAY,19.0,15.5,3.871
WEEKDAY,20.0,15.5,3.871
WEEKDAY,21.0,15.5,3.871
WEEKDAY,22.0,15.5,3.871
WEEKDAY,23.0,15.5,3.871
WEEKENDS/HOLIDAY,5.0,14.5,4.138
WEEKENDS/HOLIDAY,6.0,14.5,4.138
WEEKENDS/HOLIDAY,7.0,14.5,4.138
WEEKENDS/HOLIDAY,8.0,14.5,4.138
WEEKENDS/HOLIDAY,9.0,14.5,4.138
WEEKENDS/HOLIDAY,10.0,14.5,4.138
WEEKENDS/HOLIDAY,11.0,14.5,4.138
WEEKENDS/HOLIDAY,12.0,14.5,4.138
WEEKENDS/HOLIDAY,13.0,14.5,4.138
WEEKENDS/HOLIDAY,14.0,14.5,4.138
WEEKENDS/HOLIDAY,15.0,14.5,4.138
WEEKENDS/HOLIDAY,16.0,14.5,4.138
WEEKENDS/HOLIDAY,17.0,13.5,4.444
WEEKENDS/HOLIDAY,18.0,13.5,4.444
WEEKENDS/HOLIDAY,19.0,14.5,4.138
WEEKENDS/HOLIDAY,20.0,14.5,4.138
WEEKENDS/HOLIDAY,21.0,14.5,4.138
WEEKENDS/HOLIDAY,22.0,14.5,4.138
WEEKENDS/HOLIDAY,23.0,14.5,4.138
